cshapes_cntry_name,year,sum
Afghanistan,1977,1
Afghanistan,1978,1
Afghanistan,1979,1
Afghanistan,1980,1
Afghanistan,1981,1
Afghanistan,1982,1
Afghanistan,1983,1
Afghanistan,1984,1
Afghanistan,1985,1
Afghanistan,1986,1
Afghanistan,1987,1
Afghanistan,1988,1
Afghanistan,1989,1
Afghanistan,1990,1
Afghanistan,1991,1
Afghanistan,1992,1
Afghanistan,1993,1
Afghanistan,1994,1
Afghanistan,1995,1
Afghanistan,1996,1
Afghanistan,1997,1
Afghanistan,1998,1
Afghanistan,1999,1
Afghanistan,2000,1
Afghanistan,2001,1
Afghanistan,2002,1
Afghanistan,2003,1
Afghanistan,2004,1
Afghanistan,2005,1
Afghanistan,2006,2
Afghanistan,2007,2
Afghanistan,2008,2
Afghanistan,2009,2
Afghanistan,2010,2
Afghanistan,2011,2
Afghanistan,2012,3
Afghanistan,2013,3
Albania,1992,2
Albania,1993,2
Albania,1994,2
Albania,1995,2
Albania,1996,3
Albania,1997,3
Albania,1998,3
Albania,1999,4
Albania,2000,4
Albania,2001,4
Albania,2002,4
Albania,2003,4
Albania,2004,4
Albania,2005,4
Albania,2006,5
Albania,2007,5
Albania,2008,5
Albania,2009,5
Albania,2010,5
Albania,2011,5
Albania,2012,5
Albania,2013,5
Algeria,1988,1
Algeria,1989,1
Algeria,1990,1
Algeria,1991,1
Algeria,1992,1
Algeria,1993,1
Algeria,1994,1
Algeria,1995,1
Algeria,1996,1
Algeria,1997,1
Algeria,1998,1
Algeria,1999,1
Algeria,2000,1
Algeria,2001,1
Algeria,2002,1
Algeria,2003,1
Algeria,2004,1
Algeria,2005,1
Algeria,2006,1
Algeria,2007,1
Algeria,2008,1
Algeria,2009,1
Algeria,2010,1
Algeria,2011,1
Algeria,2012,1
Algeria,2013,1
Argentina,1967,1
Argentina,1968,4
Argentina,1969,5
Argentina,1970,6
Argentina,1971,7
Argentina,1972,8
Argentina,1973,10
Argentina,1974,11
Argentina,1975,13
Argentina,1976,14
Argentina,1977,15
Argentina,1978,17
Argentina,1979,18
Argentina,1980,19
Argentina,1981,20
Argentina,1982,21
Argentina,1983,22
Argentina,1984,23
Argentina,1985,24
Argentina,1986,24
Argentina,1987,26
Argentina,1988,27
Argentina,1989,27
Argentina,1990,28
Argentina,1991,28
Argentina,1992,29
Argentina,1993,30
Argentina,1994,31
Argentina,1995,33
Argentina,1996,35
Argentina,1997,36
Argentina,1998,36
Argentina,1999,36
Argentina,2000,37
Argentina,2001,38
Argentina,2002,39
Argentina,2003,40
Argentina,2004,41
Argentina,2005,41
Argentina,2006,41
Argentina,2007,42
Argentina,2008,43
Argentina,2009,43
Argentina,2010,45
Argentina,2011,46
Argentina,2012,47
Argentina,2013,47
Armenia,1991,1
Armenia,1992,1
Armenia,1993,1
Armenia,1994,1
Armenia,1995,1
Armenia,1996,1
Armenia,1997,1
Armenia,1998,1
Armenia,1999,1
Armenia,2000,1
Armenia,2001,1
Armenia,2002,1
Armenia,2003,1
Armenia,2004,1
Armenia,2005,1
Armenia,2006,1
Armenia,2007,1
Armenia,2008,1
Armenia,2009,2
Armenia,2010,2
Armenia,2011,2
Armenia,2012,2
Armenia,2013,2
Australia,1994,2
Australia,1995,3
Australia,1996,4
Australia,1997,4
Australia,1998,4
Australia,1999,4
Australia,2000,4
Australia,2001,4
Australia,2002,4
Australia,2003,4
Australia,2004,4
Australia,2005,6
Australia,2006,6
Australia,2007,6
Australia,2008,6
Australia,2009,7
Australia,2010,7
Australia,2011,8
Australia,2012,8
Australia,2013,8
Austria,1994,1
Austria,1995,1
Austria,1996,1
Austria,1997,1
Austria,1998,1
Austria,1999,1
Austria,2000,1
Austria,2001,1
Austria,2002,1
Austria,2003,1
Austria,2004,2
Austria,2005,3
Austria,2006,3
Austria,2007,3
Austria,2008,4
Austria,2009,5
Austria,2010,5
Austria,2011,5
Austria,2012,5
Austria,2013,5
Bahrain,2013,1
Bangladesh,1976,1
Bangladesh,1977,1
Bangladesh,1978,1
Bangladesh,1979,1
Bangladesh,1980,1
Bangladesh,1981,1
Bangladesh,1982,1
Bangladesh,1983,1
Bangladesh,1984,1
Bangladesh,1985,1
Bangladesh,1986,1
Bangladesh,1987,1
Bangladesh,1988,1
Bangladesh,1989,1
Bangladesh,1990,2
Bangladesh,1991,3
Bangladesh,1992,3
Bangladesh,1993,4
Bangladesh,1994,4
Bangladesh,1995,4
Bangladesh,1996,4
Bangladesh,1997,4
Bangladesh,1998,4
Bangladesh,1999,4
Bangladesh,2000,4
Bangladesh,2001,4
Bangladesh,2002,4
Bangladesh,2003,4
Bangladesh,2004,4
Bangladesh,2005,4
Bangladesh,2006,5
Bangladesh,2007,5
Bangladesh,2008,6
Bangladesh,2009,6
Bangladesh,2010,7
Bangladesh,2011,7
Bangladesh,2012,7
Bangladesh,2013,7
Barbados,1974,1
Barbados,1975,1
Barbados,1976,1
Barbados,1977,1
Barbados,1978,1
Barbados,1979,1
Barbados,1980,1
Barbados,1981,1
Barbados,1982,1
Barbados,1983,1
Barbados,1984,1
Barbados,1985,1
Barbados,1986,1
Barbados,1987,1
Barbados,1988,1
Barbados,1989,1
Barbados,1990,1
Barbados,1991,1
Barbados,1992,1
Barbados,1993,1
Barbados,1994,1
Barbados,1995,1
Barbados,1996,1
Barbados,1997,1
Barbados,1998,1
Barbados,1999,1
Barbados,2000,1
Barbados,2001,1
Barbados,2002,1
Barbados,2003,1
Barbados,2004,1
Barbados,2005,1
Barbados,2006,1
Barbados,2007,1
Barbados,2008,1
Barbados,2009,1
Barbados,2010,1
Barbados,2011,1
Barbados,2012,1
Barbados,2013,1
Belarus,2010,1
Belarus,2011,1
Belarus,2012,2
Belarus,2013,2
Belgium,1968,1
Belgium,1969,1
Belgium,1970,1
Belgium,1971,1
Belgium,1972,1
Belgium,1973,1
Belgium,1974,1
Belgium,1975,1
Belgium,1976,1
Belgium,1977,1
Belgium,1978,1
Belgium,1979,1
Belgium,1980,2
Belgium,1981,2
Belgium,1982,3
Belgium,1983,3
Belgium,1984,4
Belgium,1985,4
Belgium,1986,4
Belgium,1987,4
Belgium,1988,4
Belgium,1989,4
Belgium,1990,4
Belgium,1991,4
Belgium,1992,4
Belgium,1993,4
Belgium,1994,4
Belgium,1995,4
Belgium,1996,4
Belgium,1997,4
Belgium,1998,4
Belgium,1999,4
Belgium,2000,4
Belgium,2001,4
Belgium,2002,4
Belgium,2003,4
Belgium,2004,4
Belgium,2005,5
Belgium,2006,5
Belgium,2007,5
Belgium,2008,5
Belgium,2009,5
Belgium,2010,5
Belgium,2011,5
Belgium,2012,5
Belgium,2013,5
Benin,1995,1
Benin,1996,1
Benin,1997,1
Benin,1998,1
Benin,1999,1
Benin,2000,1
Benin,2001,1
Benin,2002,1
Benin,2003,1
Benin,2004,1
Benin,2005,1
Benin,2006,1
Benin,2007,1
Benin,2008,1
Benin,2009,1
Benin,2010,1
Benin,2011,1
Benin,2012,1
Benin,2013,1
Bolivia,1985,1
Bolivia,1986,1
Bolivia,1987,1
Bolivia,1988,1
Bolivia,1989,1
Bolivia,1990,1
Bolivia,1991,1
Bolivia,1992,1
Bolivia,1993,1
Bolivia,1994,1
Bolivia,1995,2
Bolivia,1996,3
Bolivia,1997,4
Bolivia,1998,4
Bolivia,1999,4
Bolivia,2000,4
Bolivia,2001,4
Bolivia,2002,4
Bolivia,2003,4
Bolivia,2004,5
Bolivia,2005,5
Bolivia,2006,5
Bolivia,2007,5
Bolivia,2008,5
Bolivia,2009,5
Bolivia,2010,5
Bolivia,2011,5
Bolivia,2012,5
Bolivia,2013,5
Bosnia and Herzegovina,2001,1
Bosnia and Herzegovina,2002,2
Bosnia and Herzegovina,2003,3
Bosnia and Herzegovina,2004,3
Bosnia and Herzegovina,2005,3
Bosnia and Herzegovina,2006,3
Bosnia and Herzegovina,2007,3
Bosnia and Herzegovina,2008,3
Bosnia and Herzegovina,2009,3
Bosnia and Herzegovina,2010,3
Bosnia and Herzegovina,2011,3
Bosnia and Herzegovina,2012,3
Bosnia and Herzegovina,2013,3
Botswana,1977,1
Botswana,1978,2
Botswana,1979,2
Botswana,1980,2
Botswana,1981,2
Botswana,1982,2
Botswana,1983,2
Botswana,1984,2
Botswana,1985,2
Botswana,1986,2
Botswana,1987,2
Botswana,1988,2
Botswana,1989,2
Botswana,1990,2
Botswana,1991,2
Botswana,1992,2
Botswana,1993,2
Botswana,1994,3
Botswana,1995,3
Botswana,1996,3
Botswana,1997,3
Botswana,1998,3
Botswana,1999,3
Botswana,2000,3
Botswana,2001,3
Botswana,2002,3
Botswana,2003,4
Botswana,2004,4
Botswana,2005,4
Botswana,2006,4
Botswana,2007,4
Botswana,2008,4
Botswana,2009,4
Botswana,2010,4
Botswana,2011,4
Botswana,2012,5
Botswana,2013,5
Brazil,1968,2
Brazil,1969,4
Brazil,1970,5
Brazil,1971,6
Brazil,1972,7
Brazil,1973,9
Brazil,1974,10
Brazil,1975,11
Brazil,1976,11
Brazil,1977,11
Brazil,1978,12
Brazil,1979,13
Brazil,1980,14
Brazil,1981,14
Brazil,1982,15
Brazil,1983,16
Brazil,1984,16
Brazil,1985,17
Brazil,1986,18
Brazil,1987,19
Brazil,1988,20
Brazil,1989,20
Brazil,1990,21
Brazil,1991,21
Brazil,1992,21
Brazil,1993,21
Brazil,1994,21
Brazil,1995,22
Brazil,1996,23
Brazil,1997,23
Brazil,1998,23
Brazil,1999,23
Brazil,2000,23
Brazil,2001,23
Brazil,2002,24
Brazil,2003,24
Brazil,2004,24
Brazil,2005,24
Brazil,2006,24
Brazil,2007,24
Brazil,2008,24
Brazil,2009,24
Brazil,2010,25
Brazil,2011,25
Brazil,2012,26
Brazil,2013,26
Bulgaria,1975,1
Bulgaria,1976,1
Bulgaria,1977,1
Bulgaria,1978,2
Bulgaria,1979,3
Bulgaria,1980,4
Bulgaria,1981,4
Bulgaria,1982,5
Bulgaria,1983,6
Bulgaria,1984,7
Bulgaria,1985,7
Bulgaria,1986,7
Bulgaria,1987,7
Bulgaria,1988,8
Bulgaria,1989,8
Bulgaria,1990,8
Bulgaria,1991,8
Bulgaria,1992,8
Bulgaria,1993,8
Bulgaria,1994,8
Bulgaria,1995,8
Bulgaria,1996,8
Bulgaria,1997,8
Bulgaria,1998,8
Bulgaria,1999,8
Bulgaria,2000,8
Bulgaria,2001,9
Bulgaria,2002,10
Bulgaria,2003,10
Bulgaria,2004,10
Bulgaria,2005,10
Bulgaria,2006,10
Bulgaria,2007,11
Bulgaria,2008,11
Bulgaria,2009,11
Bulgaria,2010,11
Bulgaria,2011,11
Bulgaria,2012,11
Bulgaria,2013,11
Burundi,2013,1
Cambodia,1967,1
Cambodia,1968,1
Cambodia,1969,1
Cambodia,1970,1
Cambodia,1971,1
Cambodia,1972,1
Cambodia,1973,1
Cambodia,1974,1
Cambodia,1975,1
Cambodia,1976,1
Cambodia,1977,1
Cambodia,1978,1
Cambodia,1979,1
Cambodia,1980,1
Cambodia,1981,1
Cambodia,1982,1
Cambodia,1983,1
Cambodia,1984,1
Cambodia,1985,1
Cambodia,1986,1
Cambodia,1987,1
Cambodia,1988,1
Cambodia,1989,1
Cambodia,1990,1
Cambodia,1991,1
Cambodia,1992,2
Cambodia,1993,2
Cambodia,1994,2
Cambodia,1995,2
Cambodia,1996,2
Cambodia,1997,2
Cambodia,1998,2
Cambodia,1999,2
Cambodia,2000,2
Cambodia,2001,2
Cambodia,2002,2
Cambodia,2003,2
Cambodia,2004,2
Cambodia,2005,2
Cambodia,2006,2
Cambodia,2007,2
Cambodia,2008,2
Cambodia,2009,2
Cambodia,2010,2
Cambodia,2011,2
Cambodia,2012,2
Cambodia,2013,2
Cameroon,1978,1
Cameroon,1979,1
Cameroon,1980,1
Cameroon,1981,1
Cameroon,1982,1
Cameroon,1983,1
Cameroon,1984,1
Cameroon,1985,1
Cameroon,1986,2
Cameroon,1987,3
Cameroon,1988,3
Cameroon,1989,3
Cameroon,1990,3
Cameroon,1991,3
Cameroon,1992,3
Cameroon,1993,3
Cameroon,1994,3
Cameroon,1995,3
Cameroon,1996,3
Cameroon,1997,3
Cameroon,1998,3
Cameroon,1999,3
Cameroon,2000,3
Cameroon,2001,3
Cameroon,2002,3
Cameroon,2003,3
Cameroon,2004,4
Cameroon,2005,4
Cameroon,2006,4
Cameroon,2007,4
Cameroon,2008,5
Cameroon,2009,5
Cameroon,2010,5
Cameroon,2011,5
Cameroon,2012,5
Cameroon,2013,5
Canada,1989,1
Canada,1990,1
Canada,1991,1
Canada,1992,1
Canada,1993,1
Canada,1994,1
Canada,1995,1
Canada,1996,1
Canada,1997,1
Canada,1998,1
Canada,1999,1
Canada,2000,1
Canada,2001,1
Canada,2002,1
Canada,2003,1
Canada,2004,1
Canada,2005,1
Canada,2006,1
Canada,2007,1
Canada,2008,2
Canada,2009,2
Canada,2010,2
Canada,2011,2
Canada,2012,2
Canada,2013,2
Chile,1968,2
Chile,1969,3
Chile,1970,4
Chile,1971,5
Chile,1972,5
Chile,1973,6
Chile,1974,7
Chile,1975,7
Chile,1976,7
Chile,1977,7
Chile,1978,7
Chile,1979,7
Chile,1980,7
Chile,1981,7
Chile,1982,7
Chile,1983,7
Chile,1984,7
Chile,1985,7
Chile,1986,7
Chile,1987,7
Chile,1988,7
Chile,1989,7
Chile,1990,7
Chile,1991,8
Chile,1992,8
Chile,1993,8
Chile,1994,9
Chile,1995,10
Chile,1996,11
Chile,1997,12
Chile,1998,12
Chile,1999,12
Chile,2000,12
Chile,2001,12
Chile,2002,13
Chile,2003,14
Chile,2004,15
Chile,2005,15
Chile,2006,15
Chile,2007,15
Chile,2008,15
Chile,2009,15
Chile,2010,15
Chile,2011,15
Chile,2012,16
Chile,2013,16
China,1967,1
China,1968,2
China,1969,2
China,1970,3
China,1971,3
China,1972,3
China,1973,4
China,1974,5
China,1975,5
China,1976,6
China,1977,7
China,1978,8
China,1979,11
China,1980,14
China,1981,16
China,1982,18
China,1983,22
China,1984,24
China,1985,26
China,1986,29
China,1987,32
China,1988,34
China,1989,34
China,1990,35
China,1991,35
China,1992,37
China,1993,38
China,1994,38
China,1995,38
China,1996,38
China,1997,38
China,1998,38
China,1999,38
China,2000,38
China,2001,39
China,2002,42
China,2003,44
China,2004,48
China,2005,51
China,2006,53
China,2007,54
China,2008,56
China,2009,61
China,2010,63
China,2011,65
China,2012,66
China,2013,69
Colombia,1968,1
Colombia,1969,1
Colombia,1970,2
Colombia,1971,2
Colombia,1972,2
Colombia,1973,2
Colombia,1974,3
Colombia,1975,3
Colombia,1976,4
Colombia,1977,4
Colombia,1978,4
Colombia,1979,6
Colombia,1980,6
Colombia,1981,6
Colombia,1982,7
Colombia,1983,7
Colombia,1984,8
Colombia,1985,9
Colombia,1986,9
Colombia,1987,10
Colombia,1988,11
Colombia,1989,11
Colombia,1990,11
Colombia,1991,11
Colombia,1992,11
Colombia,1993,12
Colombia,1994,12
Colombia,1995,13
Colombia,1996,13
Colombia,1997,13
Colombia,1998,13
Colombia,1999,13
Colombia,2000,13
Colombia,2001,13
Colombia,2002,14
Colombia,2003,14
Colombia,2004,14
Colombia,2005,15
Colombia,2006,15
Colombia,2007,15
Colombia,2008,15
Colombia,2009,15
Colombia,2010,15
Colombia,2011,16
Colombia,2012,16
Colombia,2013,16
Costa Rica,1969,1
Costa Rica,1970,1
Costa Rica,1971,1
Costa Rica,1972,1
Costa Rica,1973,1
Costa Rica,1974,1
Costa Rica,1975,2
Costa Rica,1976,2
Costa Rica,1977,2
Costa Rica,1978,2
Costa Rica,1979,2
Costa Rica,1980,2
Costa Rica,1981,2
Costa Rica,1982,2
Costa Rica,1983,2
Costa Rica,1984,2
Costa Rica,1985,3
Costa Rica,1986,3
Costa Rica,1987,4
Costa Rica,1988,4
Costa Rica,1989,4
Costa Rica,1990,4
Costa Rica,1991,4
Costa Rica,1992,4
Costa Rica,1993,4
Costa Rica,1994,4
Costa Rica,1995,4
Costa Rica,1996,4
Costa Rica,1997,4
Costa Rica,1998,4
Costa Rica,1999,4
Costa Rica,2000,4
Costa Rica,2001,4
Costa Rica,2002,4
Costa Rica,2003,4
Costa Rica,2004,4
Costa Rica,2005,5
Costa Rica,2006,5
Costa Rica,2007,5
Costa Rica,2008,5
Costa Rica,2009,5
Costa Rica,2010,5
Costa Rica,2011,5
Costa Rica,2012,5
Costa Rica,2013,5
Croatia,2009,1
Croatia,2010,1
Croatia,2011,1
Croatia,2012,1
Croatia,2013,1
Cuba,2001,1
Cuba,2002,1
Cuba,2003,1
Cuba,2004,1
Cuba,2005,1
Cuba,2006,1
Cuba,2007,1
Cuba,2008,2
Cuba,2009,2
Cuba,2010,2
Cuba,2011,2
Cuba,2012,2
Cuba,2013,2
Cyprus,2008,1
Cyprus,2009,1
Cyprus,2010,1
Cyprus,2011,1
Cyprus,2012,1
Cyprus,2013,1
Czech Republic,2007,1
Czech Republic,2008,1
Czech Republic,2009,1
Czech Republic,2010,1
Czech Republic,2011,2
Czech Republic,2012,2
Czech Republic,2013,2
Czechoslovakia,1970,1
Czechoslovakia,1971,1
Czechoslovakia,1972,1
Czechoslovakia,1973,1
Czechoslovakia,1974,1
Czechoslovakia,1975,1
Czechoslovakia,1976,1
Czechoslovakia,1977,1
Czechoslovakia,1978,1
Czechoslovakia,1979,1
Czechoslovakia,1980,1
Czechoslovakia,1981,1
Czechoslovakia,1982,2
Czechoslovakia,1983,2
Czechoslovakia,1984,2
Czechoslovakia,1985,2
Czechoslovakia,1986,3
Czechoslovakia,1987,4
Czechoslovakia,1988,5
Czechoslovakia,1989,5
Czechoslovakia,1990,6
Czechoslovakia,1991,7
Czechoslovakia,1992,7
Denmark,1977,1
Denmark,1978,1
Denmark,1979,1
Denmark,1980,1
Denmark,1981,1
Denmark,1982,1
Denmark,1983,1
Denmark,1984,1
Denmark,1985,1
Denmark,1986,1
Denmark,1987,1
Denmark,1988,1
Denmark,1989,1
Denmark,1990,1
Denmark,1991,1
Denmark,1992,1
Denmark,1993,1
Denmark,1994,1
Denmark,1995,1
Denmark,1996,1
Denmark,1997,1
Denmark,1998,1
Denmark,1999,1
Denmark,2000,1
Denmark,2001,1
Denmark,2002,1
Denmark,2003,1
Denmark,2004,1
Denmark,2005,1
Denmark,2006,2
Denmark,2007,2
Denmark,2008,2
Denmark,2009,2
Denmark,2010,2
Denmark,2011,2
Denmark,2012,2
Denmark,2013,2
Djibouti,2010,1
Djibouti,2011,1
Djibouti,2012,1
Djibouti,2013,1
Ecuador,1973,1
Ecuador,1974,1
Ecuador,1975,1
Ecuador,1976,1
Ecuador,1977,1
Ecuador,1978,1
Ecuador,1979,1
Ecuador,1980,1
Ecuador,1981,1
Ecuador,1982,1
Ecuador,1983,1
Ecuador,1984,1
Ecuador,1985,1
Ecuador,1986,1
Ecuador,1987,1
Ecuador,1988,1
Ecuador,1989,1
Ecuador,1990,1
Ecuador,1991,1
Ecuador,1992,1
Ecuador,1993,1
Ecuador,1994,1
Ecuador,1995,1
Ecuador,1996,1
Ecuador,1997,1
Ecuador,1998,1
Ecuador,1999,1
Ecuador,2000,1
Ecuador,2001,1
Ecuador,2002,1
Ecuador,2003,1
Ecuador,2004,1
Ecuador,2005,1
Ecuador,2006,1
Ecuador,2007,1
Ecuador,2008,1
Ecuador,2009,1
Ecuador,2010,1
Ecuador,2011,1
Ecuador,2012,1
Ecuador,2013,1
Egypt,1976,1
Egypt,1977,2
Egypt,1978,2
Egypt,1979,3
Egypt,1980,4
Egypt,1981,5
Egypt,1982,6
Egypt,1983,7
Egypt,1984,7
Egypt,1985,7
Egypt,1986,7
Egypt,1987,7
Egypt,1988,7
Egypt,1989,7
Egypt,1990,8
Egypt,1991,9
Egypt,1992,9
Egypt,1993,10
Egypt,1994,10
Egypt,1995,11
Egypt,1996,11
Egypt,1997,12
Egypt,1998,12
Egypt,1999,12
Egypt,2000,12
Egypt,2001,12
Egypt,2002,12
